pass_id,sat_id,pass_num,timestamp,duration_min,orbital_mode,ground_station,battery_voltage,solar_current,power_bus_voltage,battery_soc,battery_temp,obc_temp,solar_panel_temp,attitude_error,angular_velocity,wheel_speed,rssi,ber,link_margin,cpu_usage,memory_usage,uptime_sec,error_count,operator_note,scenario_name
PASS-1001,SAT-1001,1,2026-06-30T00:00:00Z,8.56,sunlight,GS-SVALBARD,28.11,4.65,5,94.47,20.6,22.8,70.9,0.29,0.133,-1418,-68,1.08E-07,10.3,30.2,44.7,105913.6,0,All systems healthy in sunlit portion of the orbit.,Nominal Operations
PASS-1002,SAT-1001,2,2026-06-30T01:30:00Z,11.45,sunlight,GS-KIRUNA,28.18,4.73,5.08,94.47,19,30.2,70.3,0.259,0.128,-1401,-68.9,3.80E-07,9.4,30.8,43.5,112000.6,0,Solar array output stable. Bus voltage nominal.,Nominal Operations
PASS-1003,SAT-1001,3,2026-06-30T03:00:00Z,9.05,transition,GS-ADELAIDE,26.95,1.75,5.02,88.26,21.5,25,6.4,0.223,0.119,-1349,-68.9,3.67E-07,11.2,29.1,43.6,117943.6,0,"All nominal, clean pass.",Scenario A — Clean Nominal Pass
PASS-1004,SAT-1001,4,2026-06-30T04:30:00Z,10.32,eclipse,GS-PERTH,25.62,0.021,5.02,76.21,24.2,25.8,-51.2,0.276,0.101,-1385,-68.7,1.35E-07,10.4,30.7,42.7,123962.8,0,"Eclipse pass, SoC trending down as modelled.",Nominal Operations
PASS-1005,SAT-1001,5,2026-06-30T06:00:00Z,8.59,eclipse,GS-MASPALOMAS,25.22,0.015,5.05,80.08,22,26.9,-61,0.254,0.098,-1345,-69.6,4.47E-07,10.9,32.1,43,129878.2,0,"Battery discharging during shadow phase, values nominal.",Nominal Operations
PASS-1006,SAT-1001,6,2026-06-30T07:30:00Z,8.87,transition,GS-GSOC,26.75,1.91,4.98,89.27,20.7,27,3.5,0.34,0.092,-1315,-70.4,2.83E-07,10,30.9,42.5,135810.4,0,"Transitioning to sunlight, solar array output rising.",Nominal Operations
PASS-1007,SAT-1001,7,2026-06-30T09:00:00Z,11.39,sunlight,GS-SVALBARD,28.2,4.47,4.99,93.33,20.5,28.2,66.7,0.332,0.098,-1315,-69.7,1.26E-07,11.1,30.8,41.3,141893.8,0,"Acquisition of signal successful, subsystems in nominal sunlight state.",Nominal Operations
PASS-1008,SAT-1001,8,2026-06-30T10:30:00Z,9.6,sunlight,GS-KIRUNA,28.41,4.78,5.02,94.12,21.3,29.8,73.1,0.355,0.086,-1392,-69.6,3.49E-07,11,30.9,40.2,147869.8,0,"Sunlight tracking nominal, EPS fully charged.",Nominal Operations
PASS-1009,SAT-1001,9,2026-06-30T12:00:00Z,10.53,transition,GS-ADELAIDE,26.63,1.78,5.08,89.02,22.6,26.7,7.4,0.304,0.09,-1315,-70.5,3.53E-07,9.8,32.4,40.4,153901.6,0,"Transition pass, checking battery charge switch-over.",Nominal Operations
PASS-1010,SAT-1001,10,2026-06-30T13:30:00Z,11.19,eclipse,GS-PERTH,25.57,0.021,5.03,76.64,22.4,26.6,-47.5,0.317,0.099,-1291,-71.7,3.76E-07,11.3,31,39.6,159973,0,"Eclipse entry, solar current zeroed as expected.",Nominal Operations
PASS-1011,SAT-1002,1,2026-06-30T00:00:00Z,11.44,sunlight,GS-KIRUNA,28.2,4.68,4.99,93.06,24,30.3,66.9,0.34,0.13,-1262,-71.5,4.43E-07,11,33.1,47.3,156086.4,0,Nominal sunlight pass. Battery SOC recovering.,Nominal Operations
PASS-1012,SAT-1002,2,2026-06-30T01:30:00Z,11.44,sunlight,GS-ADELAIDE,28.17,4.11,5,94.52,20.8,23.4,67.2,0.306,0.142,-1278,-70.8,7.69E-08,10.1,31.8,46.3,162172.8,0,"Acquisition of signal successful, subsystems in nominal sunlight state.",Nominal Operations
PASS-1013,SAT-1002,3,2026-06-30T03:00:00Z,9.58,transition,GS-PERTH,26.68,1.94,5.03,88.46,22,29.7,17.2,0.306,0.149,-1255,-70.3,1.94E-07,10.6,32.8,46,168147.6,0,"Transition mode, power bus voltage stable.",Nominal Operations
PASS-1014,SAT-1002,4,2026-06-30T04:30:00Z,9.48,eclipse,GS-MASPALOMAS,25.53,0.016,5.03,78.28,19.2,29.9,-57,0.305,0.151,-1291,-69.1,7.78E-08,9.9,32.2,46.4,174116.4,0,Battery draw within predicted eclipse profile.,Nominal Operations
PASS-1015,SAT-1002,5,2026-06-30T06:00:00Z,10.05,eclipse,GS-GSOC,24.15,0.025,4.97,77.11,41.2,52.8,-56.3,2.85,0.164,-1330,-68.8,8.50E-06,10.8,81.5,80.8,180119.4,0,something seems off but can't tell what,Scenario D — Genuine Uncertainty
